pname,choice_beta,lag_beta,lr_R_hat_pre_lag,lr_R_hat_pre_choice,harvest_cost_lag,travel_cost_easy_lag,travel_cost_hard_lag,harvest_cost_choice,travel_cost_easy_choice,travel_cost_hard_choice
choice_beta,1.0,-0.04459710578418214,-0.20546770400156078,0.09614236783401535,0.015169331128070243,-0.11852193837100646,0.05222767699567607,0.5522406791299864,-0.24129411735395248,-0.294965755192744
lag_beta,-0.04459710578418214,1.0,-0.0037674931278878776,0.4747453644881692,0.19149371358889436,0.11237718782754226,-0.26505518088442015,0.23263403872366864,0.08336592370438826,-0.07359541931672828
lr_R_hat_pre_lag,-0.20546770400156078,-0.0037674931278878776,1.0,-0.18657500597637006,0.3141281348639891,0.32152432861326385,0.3268339732366487,-0.18215509934310706,0.25981810593152443,0.25323432112059807
lr_R_hat_pre_choice,0.09614236783401535,0.4747453644881692,-0.18657500597637006,1.0,-0.004155171321165631,-0.009394557125695644,-0.010016966706686127,0.6806646759154342,0.156077201171869,-0.06842867716167175
harvest_cost_lag,0.015169331128070243,0.19149371358889436,0.3141281348639891,-0.004155171321165631,1.0,0.811630694062724,0.7393578327870325,-0.16217128272473313,0.3210255216848101,-0.06223316833729373
travel_cost_easy_lag,-0.11852193837100646,0.11237718782754226,0.32152432861326385,-0.009394557125695644,0.811630694062724,1.0,0.6929441377234131,-0.15403852326679487,0.3467924860212746,-0.04537458403202481
travel_cost_hard_lag,0.05222767699567607,-0.26505518088442015,0.3268339732366487,-0.010016966706686127,0.7393578327870325,0.6929441377234131,1.0,0.005804482477715139,0.2702682883919794,0.09028413262702109
harvest_cost_choice,0.5522406791299864,0.23263403872366864,-0.18215509934310706,0.6806646759154342,-0.16217128272473313,-0.15403852326679487,0.005804482477715139,1.0,-0.08262794554160291,-0.16320779297788163
travel_cost_easy_choice,-0.24129411735395248,0.08336592370438826,0.25981810593152443,0.156077201171869,0.3210255216848101,0.3467924860212746,0.2702682883919794,-0.08262794554160291,1.0,0.48297855846790966
travel_cost_hard_choice,-0.294965755192744,-0.07359541931672828,0.25323432112059807,-0.06842867716167175,-0.06223316833729373,-0.04537458403202481,0.09028413262702109,-0.16320779297788163,0.48297855846790966,1.0
